doi,title,year,journal,first_author,publication_date,community_archive,aadr_archive,minotaur_archive,nr_adna_samples
10.1016/j.isci.2022.105636,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,10
10.1016/j.xgen.2023.100377,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1016/j.xgen.2024.100507,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,4
10.1038/nature06742,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,0
10.1038/nature09710,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1038/nature14317,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,69
10.1038/nature14895,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,0
10.1038/nature18964,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,0
10.1038/ncomms15694,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,3
10.1038/s41467-018-02825-9,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,39
10.1038/s41467-018-07483-5,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,15
10.1038/s41467-018-08220-8,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,49
10.1038/s41467-019-09209-7,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,8
10.1038/s41467-019-11357-9,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,38
10.1038/s41467-019-13549-9,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1038/s41467-020-15020-6,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1038/s41467-020-16557-2,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,55
10.1038/s41467-020-17656-w,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,20
10.1038/s41467-021-27356-8,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,66
10.1038/s41467-022-28827-2,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,38
10.1038/s41467-022-29158-y,No Title Available,0,No Journal,N/A,0000-00-00,False,True,True,21
10.1038/s41467-023-40072-9,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1038/s41559-021-01443-x,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1038/s41559-022-01775-2,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,16
10.1038/s41559-023-01987-0,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1038/s41559-023-02114-9,No Title Available,0,No Journal,N/A,0000-00-00,False,True,True,34
10.1038/s41559-023-02143-4,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,28
10.1038/s41559-023-02211-9,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,2
10.1038/s41562-024-01888-7,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,58
10.1038/s41586-019-1279-z,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,30
10.1038/s41586-020-2378-6,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,44
10.1038/s41586-021-03335-3,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,14
10.1038/s41586-021-04052-7,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,18
10.1038/s41586-021-04108-8,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,18
10.1038/s41586-021-04241-4,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,62
10.1038/s41586-021-04287-4,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,793
10.1038/s41586-022-04430-9,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,24
10.1038/s41586-022-04800-3,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,7
10.1038/s41586-023-05726-0,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,162
10.1038/s41586-023-05754-w,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,80
10.1038/s41586-023-06166-6,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,9
10.1038/s41586-023-06350-8,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,32
10.1038/s41586-023-06618-z,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,85
10.1038/s41586-023-06771-5,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,119
10.1038/s41586-023-06865-0,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,631
10.1038/s41586-024-07312-4,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,440
10.1038/s41586-024-07509-7,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,56
10.1038/s41598-018-35667-y,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1038/s41598-019-56029-2,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,2
10.1038/s41598-020-61190-0,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,3
10.1038/s41598-020-63138-w,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,19
10.1038/s41598-021-95996-3,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/s41598-022-10899-1,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1038/s41598-022-11117-8,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,19
10.1038/s41598-022-25384-y,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1038/s41598-022-26799-3,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.1038/s41598-024-54462-6,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,48
10.1038/s41598-024-61052-z,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,12
10.1038/s42003-022-03508-4,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,2
10.1038/s42003-022-04190-2,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,2
10.1038/s42003-023-04681-w,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,3
10.1038/s42003-023-05131-3,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,72
10.1073/pnas.1421784112,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,3
10.1073/pnas.1813608115,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,20
10.1073/pnas.1818037116,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,23
10.1073/pnas.1820210116,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,24
10.1073/pnas.1918034117,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,58
10.1073/pnas.2005965117,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,12
10.1073/pnas.2108001119,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,37
10.1073/pnas.2120786119,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,5
10.1073/pnas.2205272119,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,50
10.1073/pnas.2210611120,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,7
10.1073/pnas.2303574120,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,32
10.1073/pnas.2310545121,No Title Available,0,No Journal,N/A,0000-00-00,False,True,True,10
10.1080/03014460.2019.1623912,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,2
10.1086/720748,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,2
10.1093/gbe/evab192,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,2
10.1093/molbev/msab216,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,26
10.1093/molbev/msac014,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,16
10.1093/molbev/msac108,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,34
10.1093/pnasnexus/pgac047,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,2
10.1098/rspb.2018.2288,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,4
10.1098/rspb.2019.1528,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,11
10.1126/sciadv.aao1262,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,12
10.1126/sciadv.aau5064,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,9
10.1126/sciadv.aax0061,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,10
10.1126/sciadv.aaz5344,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,101
10.1126/sciadv.abg7261,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,17
10.1126/sciadv.abh2419,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,12
10.1126/sciadv.abi7038,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,136
10.1126/sciadv.abi7673,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,81
10.1126/sciadv.abo3609,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,13
10.1126/sciadv.add5582,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,90
10.1126/science.1153717,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,0
10.1126/science.1188021,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,3
10.1126/science.aar2625,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,27
10.1126/science.aar8380,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,8
10.1126/science.aax6219,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,122
10.1126/science.aay6826,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,133
10.1126/science.aba0909,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,24
10.1126/science.abi8264,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,8
10.1126/science.abk1534,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,202
10.1126/science.abm4247,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,778
10.1126/science.abm6536,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,163
10.1126/science.add6142,No Title Available,0,No Journal,N/A,0000-00-00,True,True,True,12
10.1126/science.ade4995,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,27
10.1186/s13059-023-03013-9,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,294
10.1371/journal.pone.0241278,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,12
10.1371/journal.pone.0241883,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,11
10.1371/journal.pone.0285449,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.15184/aqy.2022.79,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,10
10.15184/aqy.2023.2,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,9
10.15184/aqy.2024.94,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,1
10.2144/btn-2020-0100,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,98
10.3390/genes13010136,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,5
10.47248/hpgg2404010004,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,9
10.7554/elife.79714,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,188
10.7554/elife.85492,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1038/s41431-019-0361-1,No Title Available,0,No Journal,N/A,0000-00-00,True,True,False,1
10.1371/journal.pgen.1010036,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,0
10.1038/s41598-020-75910-z,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,45
10.1038/s41467-020-15560-x,No Title Available,0,No Journal,N/A,0000-00-00,True,False,False,96
10.1038/s41586-024-08113-5,No Title Available,0,No Journal,N/A,0000-00-00,True,False,False,131
10.55465/gbvn3319,No Title Available,0,No Journal,N/A,0000-00-00,False,False,True,0
10.1126/sciadv.adg3377,No Title Available,0,No Journal,N/A,0000-00-00,False,False,True,68
10.1073/pnas.2406734121,No Title Available,0,No Journal,N/A,0000-00-00,False,False,True,48
10.1073/pnas.2412355121,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,0
10.1007/s12520-024-02050-0,No Title Available,0,No Journal,N/A,0000-00-00,False,True,False,24
10.1093/molbev/msae168,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,52
10.1126/sciadv.adi5903,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,275
10.1126/sciadv.adl2468,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,8
10.1038/s41467-024-51087-1,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,6
10.1038/s41598-024-54824-0,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,0
10.1038/s41559-024-02322-x,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,39
10.1038/s41467-023-40198-w,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,40
10.1016/j.isci.2023.106581,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,1
10.15184/aqy.2023.71,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,0
10.1093/molbev/msad182,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,21
10.1371/journal.pgen.1010360,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,2
10.1038/s41559-022-01883-z,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,2
10.1093/molbev/msab351,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,9
10.1016/j.celrep.2021.109278,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,1
10.1016/j.ajhg.2021.07.012,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,3
10.1016/j.cub.2021.06.023,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,1
10.1038/s41598-020-75163-w,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,11
10.1038/s41598-020-78723-2,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,1
10.15184/aqy.2025.10139,No Title Available,0,No Journal,N/A,0000-00-00,False,False,False,2
